City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,machico,32.7,-16.7667,27.85,75,75,2.06,PT,1691430413
1,forster,-32.1667,152.5167,8.87,92,54,2.21,AU,1691430414
2,bredasdorp,-34.5322,20.0403,10.99,85,0,1.71,ZA,1691430414
3,alice springs,-23.7,133.8833,6.75,76,2,0.0,AU,1691430223
4,yellowknife,62.456,-114.3525,18.29,48,75,4.63,CA,1691430170
5,iqaluit,63.7506,-68.5145,9.85,76,20,3.09,CA,1691430180
6,kerikeri,-35.2268,173.9474,7.52,94,41,1.79,NZ,1691430416
7,margaret river,-33.95,115.0667,16.64,91,83,8.9,AU,1691430417
8,timmins,48.4669,-81.3331,22.9,53,100,2.57,CA,1691430249
9,tiksi,71.6872,128.8694,5.77,69,27,0.93,RU,1691430418
10,dire,12.2833,-10.9667,26.71,88,99,1.36,ML,1691430418
11,tolanaro,-25.0319,46.9987,21.04,78,75,8.23,MG,1691430419
12,ivdel',60.6911,60.4206,16.4,96,86,3.72,RU,1691430419
13,leshan,29.5623,103.7639,23.65,94,33,0.66,CN,1691430420
14,puerto deseado,-47.7503,-65.8938,7.17,62,34,7.31,AR,1691430420
15,adamstown,-25.066,-130.1015,20.47,72,6,3.33,PN,1691430421
16,pacific grove,36.6177,-121.9166,24.66,86,0,4.02,US,1691430421
17,avarua,-21.2078,-159.775,21.03,83,100,1.54,CK,1691430422
18,aasiaat,68.7098,-52.8699,3.94,68,20,3.25,GL,1691430422
19,waitangi,-43.9535,-176.5597,7.68,62,100,5.28,NZ,1691430423
20,tofol,5.3248,163.0078,27.64,78,98,3.8,FM,1691430424
21,ulsteinvik,62.3432,5.8487,13.2,90,100,4.47,NO,1691430424
22,rozdilna,46.8433,30.0792,22.73,44,19,4.36,UA,1691430425
23,grytviken,-54.2811,-36.5092,-4.76,84,99,5.14,GS,1691430425
24,enewetak,11.3474,162.3373,26.85,83,98,5.95,MH,1691430426
25,edinburgh of the seven seas,-37.0676,-12.3116,13.22,75,68,11.91,SH,1691430426
26,port-aux-francais,-49.35,70.2167,4.44,92,100,11.39,TF,1691430169
27,perbaungan,3.5679,98.956,26.06,94,95,2.87,ID,1691430427
28,genhe,50.7833,121.5167,13.11,68,100,0.81,CN,1691430428
29,borovskoy,53.8,64.15,19.9,56,100,2.0,KZ,1691430429
30,kanoya,31.3833,130.85,26.83,91,100,9.01,JP,1691430429
31,stanley,54.868,-1.6985,16.82,69,20,7.2,GB,1691430430
32,badger,64.8,-147.5333,22.3,78,100,3.09,US,1691430430
33,luderitz,-26.6481,15.1594,17.06,67,0,4.49,NA,1691430431
34,holualoa,19.6228,-155.9522,27.15,73,0,3.09,US,1691430423
35,qaqortoq,60.7167,-46.0333,4.72,89,73,2.66,GL,1691430432
36,santo domingo tehuantepec,16.3333,-95.2333,36.84,38,3,5.89,MX,1691430433
37,karratha,-20.7377,116.8463,22.66,75,3,3.47,AU,1691430434
38,iskateley,67.6803,53.1512,8.64,86,6,5.04,RU,1691430434
39,ilulissat,69.2167,-51.1,11.01,46,20,2.06,GL,1691430435
40,east london,-33.0153,27.9116,17.52,88,20,2.57,ZA,1691430191
41,champerico,14.3,-91.9167,33.3,52,26,3.64,GT,1691430436
42,bethel,41.3712,-73.414,24.81,89,100,1.54,US,1691430437
43,vila velha,-20.3297,-40.2925,26.97,80,20,8.23,BR,1691430438
44,arraial do cabo,-22.9661,-42.0278,30.98,48,0,6.69,BR,1691430438
45,portland,45.5234,-122.6762,24.73,73,100,3.6,US,1691429902
46,nar'yan-mar,67.6713,53.087,8.68,86,8,5.06,RU,1691430439
47,bayanhongor,46.7167,100.1167,12.73,46,53,1.94,MN,1691430441
48,mar del plata,-38.0023,-57.5575,9.97,58,20,6.69,AR,1691430402
49,georgetown,5.4112,100.3354,28.96,88,20,1.03,MY,1691430299
50,iraquara,-12.2486,-41.6194,25.84,36,19,4.83,BR,1691430442
51,puerto ayora,-0.7393,-90.3518,28.98,83,72,4.02,EC,1691430443
52,colonia,50.9333,6.95,18.92,64,40,5.14,DE,1691430444
53,port elizabeth,-33.918,25.5701,17.83,94,20,5.14,ZA,1691430179
54,aykhal,66.0,111.5,15.1,46,100,2.0,RU,1691430445
55,ushuaia,-54.8,-68.3,1.81,69,0,1.54,AR,1691430445
56,key west,24.5557,-81.7826,34.0,70,0,4.63,US,1691430262
57,invercargill,-46.4,168.35,5.01,88,99,3.58,NZ,1691430446
58,sinabang,2.4803,96.3801,25.77,88,100,3.12,ID,1691430447
59,hammerfest,70.6634,23.6821,18.25,72,75,2.57,NO,1691430341
60,blackmans bay,-43.0167,147.3167,6.96,91,34,2.31,AU,1691430448
61,port lincoln,-34.7333,135.8667,10.62,75,1,3.79,AU,1691430183
62,punta arenas,-53.15,-70.9167,3.54,74,99,3.29,CL,1691430066
63,wailua homesteads,22.0669,-159.378,26.44,89,100,5.66,US,1691430173
64,yerofey pavlovich,53.9667,121.9667,13.73,70,79,1.9,RU,1691430450
65,pyinmana,19.7333,96.2167,23.28,98,100,3.32,MM,1691430450
66,ciudad del carmen,18.6333,-91.8333,32.02,62,0,5.66,MX,1691430378
67,pishva,35.308,51.7267,33.4,20,52,5.24,IR,1691430451
68,whitehorse,60.7161,-135.0538,18.78,63,75,5.66,CA,1691430420
69,port mathurin,-19.6833,63.4167,22.5,65,86,10.88,MU,1691430171
70,bellingham,48.7595,-122.4882,24.65,78,0,2.06,US,1691430453
71,paragominas,-2.9667,-47.4833,31.35,47,72,1.69,BR,1691430440
72,reggane,26.7158,0.1714,44.42,7,0,2.77,DZ,1691430454
73,muang khong,14.1167,105.85,22.92,98,74,0.61,LA,1691430454
74,acarau,-2.8856,-40.12,26.78,74,17,12.65,BR,1691430456
75,campos belos,-13.0367,-46.7717,34.15,17,3,1.66,BR,1691430456
76,remire-montjoly,4.9167,-52.2667,32.02,58,11,6.69,GF,1691430457
77,trashi yangtse,27.6116,91.498,20.27,98,100,0.68,BT,1691430457
78,al hufuf,25.3646,49.5653,39.19,6,0,1.54,SA,1691430458
79,ust-nera,64.5667,143.2,6.26,63,83,2.24,RU,1691430458
80,utrik,11.2278,169.8474,28.32,75,77,8.23,MH,1691430459
81,talnakh,69.4865,88.3972,17.34,52,52,1.8,RU,1691430188
82,longyearbyen,78.2186,15.6401,8.91,87,75,1.54,SJ,1691430190
83,kharupatia,26.5167,92.1333,26.62,91,99,2.47,IN,1691430460
84,hawaiian paradise park,19.5933,-154.9731,25.5,96,20,2.06,US,1691430461
85,khark,29.2614,50.3306,34.91,60,1,7.36,IR,1691430461
86,college,64.8569,-147.8028,22.34,71,100,3.09,US,1691430272
87,ribeira grande,38.5167,-28.7,26.22,69,40,3.09,PT,1691430462
88,la rinconada,37.4873,-5.9826,42.29,17,0,3.09,ES,1691430463
89,curitibanos,-27.2828,-50.5844,18.4,70,53,2.18,BR,1691430463
90,albany,42.6001,-73.9662,22.54,88,100,1.34,US,1691430464
91,las vegas,36.175,-115.1372,37.91,12,0,8.05,US,1691430434
92,papatowai,-46.5619,169.4708,4.96,87,100,5.55,NZ,1691430464
93,caidian,30.5833,114.0333,29.07,83,90,2.39,CN,1691430465
94,garoowe,8.4054,48.4845,28.99,41,46,12.69,SO,1691430465
95,yuzhno-kurilsk,44.0306,145.8556,14.61,97,98,4.3,RU,1691430466
96,codrington,-38.2667,141.9667,5.54,94,10,2.22,AU,1691430192
97,port alfred,-33.5906,26.891,16.77,91,1,0.89,ZA,1691430467
98,saipan,15.1355,145.701,27.39,100,40,0.0,MP,1691430467
99,udachny,66.4167,112.4,16.36,58,98,2.27,RU,1691430468
100,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1691430468
101,el nido,11.1858,119.3956,28.96,76,50,8.29,PH,1691430469
102,atafu village,-8.5421,-172.5159,28.33,70,70,6.11,TK,1691430170
103,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1691430470
104,quellon,-43.1167,-73.6167,10.14,76,0,2.06,CL,1691430470
105,salinopolis,-0.6136,-47.3561,27.56,81,97,5.82,BR,1691430471
106,kuta,-8.7233,115.1723,22.97,88,20,3.13,ID,1691430471
107,isangel,-19.55,169.2667,20.53,82,90,5.5,VU,1691430472
108,katabu,-4.9333,122.5167,21.48,90,1,1.81,ID,1691430472
109,urazovo,50.0836,38.0395,22.63,80,32,1.31,RU,1691430473
110,kodiak,57.79,-152.4072,12.73,94,100,5.14,US,1691430473
111,prince rupert,54.3161,-130.3201,16.05,100,100,4.63,CA,1691430236
112,chunskiy,56.0815,99.6342,12.49,95,63,0.9,RU,1691430474
113,new norfolk,-42.7826,147.0587,7.62,98,55,1.29,AU,1691430475
114,puerto natales,-51.7236,-72.4875,2.29,76,100,1.95,CL,1691430475
115,warri,5.5167,5.75,25.88,77,51,3.34,NG,1691430475
116,argo,37.6333,22.7333,29.88,53,0,1.28,GR,1691430477
117,thompson,55.7435,-97.8558,15.09,77,100,3.09,CA,1691430477
118,san juan,-31.5375,-68.5364,18.53,20,54,1.09,AR,1691430478
119,choibalsan,48.0667,114.5,14.02,91,100,3.45,MN,1691430478
120,usogorsk,63.4106,48.6872,13.69,82,3,2.33,RU,1691430479
121,egilsstadir,65.2653,-14.3948,13.95,35,0,4.63,IS,1691430479
122,santa cruz,-17.8,-63.1667,34.03,36,20,1.54,BO,1691430303
123,gewane,10.1664,40.6453,33.05,34,2,1.63,ET,1691430481
124,ust'-kut,56.7938,105.7672,17.28,95,100,1.47,RU,1691430191
125,nova sintra,14.8667,-24.7167,22.26,77,89,6.87,CV,1691430482
126,linxia chengguanzhen,35.6003,103.2064,17.84,72,18,1.07,CN,1691430482
127,sibolga,1.7427,98.7792,25.0,90,100,1.1,ID,1691430483
128,nizhneangarsk,55.7833,109.55,14.73,88,73,0.73,RU,1691430484
129,zemio,5.0314,25.1361,21.34,97,45,1.24,CF,1691430484
130,khandyga,62.6667,135.6,12.1,39,0,3.71,RU,1691430243
131,anadyr,64.75,177.4833,10.28,93,40,5.0,RU,1691430485
132,fortuna,40.5982,-124.1573,21.31,89,75,4.12,US,1691430486
133,susuman,62.7833,148.1667,1.39,80,98,1.66,RU,1691430486
134,thurso,58.5927,-3.5259,15.14,78,66,5.58,GB,1691430487
135,jiwani,25.05,61.7417,28.09,81,8,3.66,PK,1691430487
136,bilibino,68.0546,166.4372,2.38,94,100,2.63,RU,1691430488
137,oromocto,45.8351,-66.4792,24.28,68,100,2.06,CA,1691430488
138,hermanus,-34.4187,19.2345,13.78,82,0,1.24,ZA,1691430489
139,tura,25.5198,90.2201,23.71,97,100,0.92,IN,1691430489
140,general conesa,-40.1,-64.4333,10.94,31,9,4.28,AR,1691430490
141,lincheng,19.9078,109.6858,28.88,71,16,9.41,CN,1691430490
142,kapa'a,22.0752,-159.319,27.18,89,100,5.66,US,1691430491
143,rio grande,-32.035,-52.0986,15.06,68,83,8.71,BR,1691430492
144,fortaleza,-3.7227,-38.5247,30.07,58,0,8.23,BR,1691430493
145,lebu,-37.6167,-73.65,11.5,79,100,2.55,CL,1691430493
146,lompoc,34.6391,-120.4579,30.01,73,20,1.54,US,1691430208
147,pickering,43.9001,-79.1329,24.58,81,75,4.63,CA,1691430495
148,tralee,52.2704,-9.7026,16.14,77,40,4.63,IE,1691430496
149,motygino,58.1831,94.7592,13.71,78,86,1.38,RU,1691430496
150,vilyuchinsk,52.9306,158.4028,9.15,85,43,4.51,RU,1691430497
151,walvis bay,-22.9575,14.5053,25.53,19,0,3.6,NA,1691430497
152,kiama,-34.6833,150.8667,10.25,89,97,0.89,AU,1691430498
153,mirnyy,62.5353,113.9611,17.91,63,94,4.02,RU,1691430499
154,azul,-36.777,-59.8585,10.69,37,1,3.26,AR,1691430501
155,abadiania,-16.2042,-48.7069,29.51,16,3,1.85,BR,1691430501
156,villa gesell,-37.2639,-56.973,9.47,58,6,5.35,AR,1691430502
157,belfast,54.5833,-5.9333,17.9,65,20,3.09,GB,1691430503
158,george town,5.4112,100.3354,27.96,89,20,1.03,MY,1691430232
159,keflavik,64.0049,-22.5624,13.24,82,75,3.09,IS,1691430504
160,namibe,-15.1961,12.1522,17.95,90,20,2.4,AO,1691430504
161,kununurra,-15.7667,128.7333,16.99,59,15,2.57,AU,1691430505
162,hauterive,46.0901,3.4459,21.42,43,68,2.87,FR,1691430506
163,newman,37.3138,-121.0208,35.13,16,0,1.54,US,1691430506
164,calbuco,-41.768,-73.1273,12.56,60,99,1.02,CL,1691430402
165,isafjordur,66.0755,-23.124,15.02,55,20,1.54,IS,1691430507
166,fort bragg,35.139,-79.006,32.85,57,75,3.6,US,1691430508
167,huarmey,-10.0681,-78.1522,22.35,68,26,4.72,PE,1691430508
168,tafuna,-14.3358,-170.72,23.97,100,40,1.03,AS,1691430509
169,polyarnyy,69.1989,33.4478,16.8,67,42,6.45,RU,1691430510
170,lumding railway colony,25.749,93.17,25.0,96,100,0.55,IN,1691430510
171,salmas,38.1973,44.7653,25.61,32,39,1.29,IR,1691430511
172,jamestown,42.097,-79.2353,21.77,96,100,7.2,US,1691430410
173,broken hill,-31.95,141.4333,6.95,70,51,3.02,AU,1691430512
174,praia,14.9215,-23.5087,31.3,55,20,7.2,CV,1691430512
175,anna regina,7.2644,-58.5077,30.68,61,5,4.17,GY,1691430513
176,coquimbo,-29.9533,-71.3436,15.85,77,75,4.63,CL,1691430426
177,katsuren-haebaru,26.3369,127.8719,27.21,94,100,8.23,JP,1691430514
178,uturoa,-16.7333,-151.4333,25.57,77,98,4.35,PF,1691430514
179,palikir - national government center,6.9248,158.1611,24.41,100,100,1.54,FM,1691430515
180,rodas,22.3408,-80.5572,35.11,33,1,5.17,CU,1691430515
181,polokwane,-23.9045,29.4688,14.47,29,0,2.57,ZA,1691430516
182,severo-yeniseyskiy,60.3725,93.0408,10.76,88,99,1.56,RU,1691430516
183,mount pearl,47.5166,-52.7813,16.58,93,100,9.26,CA,1691430517
184,fandriana,-20.2333,47.3833,12.08,97,93,1.55,MG,1691430517
185,shakawe,-18.3667,21.85,18.69,34,23,2.57,BW,1691430518
186,mitsamiouli,-11.3847,43.2844,25.07,77,33,3.2,KM,1691430518
187,parang,7.3704,124.2697,24.46,90,70,0.82,PH,1691430519
188,heihe,50.2441,127.4902,13.32,80,59,0.88,CN,1691430519
189,carnarvon,-24.8667,113.6333,20.29,79,17,2.64,AU,1691430520
190,palmer,42.1584,-72.3287,21.75,79,100,4.12,US,1691430521
191,nepalgunj,28.05,81.6167,26.33,89,74,1.6,NP,1691430521
192,goundam,16.4145,-3.6708,37.22,27,9,4.84,ML,1691430521
193,rujewa,-8.7,34.3833,19.86,50,53,4.67,TZ,1691430523
194,salekhard,66.53,66.6019,17.75,87,9,4.1,RU,1691430523
195,tucuma,-0.1833,-50.05,30.49,63,70,3.97,BR,1691430524
196,tadine,-21.55,167.8833,18.53,78,0,4.89,NC,1691430524
197,huicheng,23.0385,116.2899,28.13,81,85,5.5,CN,1691430525
198,kukawa,12.9234,13.5606,28.8,59,93,3.82,NG,1691430525
199,uacu cungo,-11.3634,15.1208,22.08,24,0,0.48,AO,1691430526
200,crane,31.3974,-102.3501,38.32,18,30,7.69,US,1691430526
201,las lomitas,-24.7096,-60.593,30.02,39,2,5.92,AR,1691430527
202,chonchi,-42.6128,-73.8092,12.56,56,99,0.74,CL,1691430400
203,mahibadhoo,3.7833,72.9667,27.74,79,61,4.96,MV,1691430528
204,mangrol,21.1167,70.1167,26.92,84,100,8.26,IN,1691430528
205,hithadhoo,-0.6,73.0833,28.06,73,87,2.64,MV,1691430529
206,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,6.69,EC,1691430529
207,energetik,51.7445,58.7934,20.11,76,44,3.26,RU,1691430530
208,kruisfontein,-34.0033,24.7314,16.6,92,0,1.56,ZA,1691430530
209,shimoda,34.6667,138.95,25.06,85,92,4.29,JP,1691430531
210,tazovsky,67.4667,78.7,14.8,63,0,3.35,RU,1691430531
211,tshabong,-26.05,22.45,15.58,20,0,3.44,BW,1691430532
212,murphysboro,37.7645,-89.3351,25.06,69,100,5.14,US,1691430532
213,waat,51.1454,6.4958,18.88,68,40,4.12,DE,1691430533
214,howrah,22.5892,88.3103,27.0,94,100,3.09,IN,1691430533
215,ola,59.5833,151.2833,8.11,54,63,4.6,RU,1691430534
216,elkins,38.9259,-79.8467,29.02,54,75,3.09,US,1691430534
217,isla vista,34.4133,-119.861,30.69,45,3,2.79,US,1691430322
218,chissamba,-12.1667,17.3333,20.31,26,0,0.99,AO,1691430535
219,daru,-9.0763,143.2092,23.11,86,66,4.5,PG,1691430388
220,port isabel,26.0734,-97.2086,36.15,59,20,7.72,US,1691430536
221,phan thiet,10.9333,108.1,25.9,88,15,3.93,VN,1691430537
222,kristiansund,63.1115,7.732,12.03,93,75,2.57,NO,1691430538
223,happy valley-goose bay,53.3168,-60.3315,17.17,72,75,4.63,CA,1691430538
224,tidjikja,18.5564,-11.4271,36.56,16,5,6.0,MR,1691430539
225,corte,42.25,9.25,24.96,71,47,1.28,FR,1691430540
226,vila franca do campo,37.7167,-25.4333,24.23,64,96,1.71,PT,1691430541
227,hirara,24.8,125.2833,28.15,89,100,4.63,JP,1691430541
228,haiku-pauwela,20.9219,-156.3051,25.7,79,20,8.23,US,1691430542
229,abalak,58.1286,68.5944,19.3,69,95,1.57,RU,1691430543
230,mount isa,-20.7333,139.5,11.87,62,87,2.57,AU,1691430543
231,tarawa,1.419,172.984,28.05,83,40,0.51,KI,1691430544
232,dudinka,69.4058,86.1778,17.57,54,43,2.78,RU,1691430545
233,guerrero negro,27.9769,-114.0611,27.15,64,3,1.8,MX,1691430366
234,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,0,2.0,RU,1691430546
235,malanje,-9.5402,16.341,24.52,22,8,0.98,AO,1691430547
236,richards bay,-28.783,32.0377,18.0,91,2,1.68,ZA,1691430466
237,xinshi,31.047,113.141,25.67,93,2,2.44,CN,1691430548
238,alofi,-19.0595,-169.9187,22.94,94,92,4.63,NU,1691430549
239,aberdeen,57.1437,-2.0981,16.48,92,75,4.12,GB,1691430549
240,hobyo,5.3505,48.5268,25.14,81,77,12.71,SO,1691430550
241,magadan,59.5667,150.8,7.88,54,68,4.03,RU,1691430551
242,caleta de carquin,-11.0925,-77.6267,21.52,68,13,4.82,PE,1691430551
243,balfour,-26.6633,28.5902,10.12,20,0,0.28,ZA,1691430552
244,praia da vitoria,38.7333,-27.0667,25.42,83,20,2.56,PT,1691430552
245,lozuvatka,48.0571,33.2858,24.99,40,16,3.21,UA,1691430553
246,kogalym,62.2654,74.4791,18.2,57,43,2.34,RU,1691430553
247,nantucket,41.2835,-70.0995,26.03,68,100,4.63,US,1691430324
248,saveh,35.0213,50.3566,33.01,20,59,8.19,IR,1691430554
249,mitu,1.1983,-70.1733,28.92,74,56,0.88,CO,1691430555
250,prince george,53.9166,-122.753,20.69,60,75,2.06,CA,1691430556
